PACKAGE,DESCRIPTION,HAS_MESH,HAS_UPB,UPFRONT_FEE,NONDISCOUNTED_PRICE,CONTRACT_TERM [MONTHS],DISCOUNTED_PRICE,DISCOUNT_TERM [MONTHS],BB_SPEED,HAS_TV_PACK_VAR,HAS_TV_PACK_MOVIES,HAS_TV_PACK_SPORTS,HAS_TV_PACK_KIDS,HAS_TV_PACK_FAMILY/ ULTIMATE,HAS_FIXED,HAS_CONTENT,IS_PROACTIVE_RECONTRACTING,IS_MONETIZATION,TERMINATION_DATE,STATUS,REMARKS
UniVERSE - Unifi Home 100Mbps Value Broadband with VAR Plus (24M),unifi Home 100Mbps me + VAR Pack (RM30) + Add On UPB (RM15) + Promo Discount RM10 (24 Month) (Skip Auto Add RG6),FALSE,TRUE,,129,24,134,24,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 300Mbps Value Broadband with VAR Plus (24M),unifi Home 300Mbps me + STD20 (Free) + VAR Plus (UPB) + Promo Discount RM10 (24 Month),FALSE,TRUE,,169,24,159,24,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 500Mbps Value Broadband with VAR Plus (24M),unifi Home 500Mbps me + STD20 (Free) + VAR Plus (UPB) + Promo Discount RM10 (24 Month),FALSE,TRUE,,189,24,179,24,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 100Mbps Value BB with Movies Pack (24M),unifi Home 100Mbps me + Movies Pack (UPB) + Promo Discount RM10 (24 Month) (Skip Auto Add RG6),FALSE,TRUE,,168.9,24,158.9,24,100,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 300Mbps Value BB with Movies Pack (24M),nifi Home 300Mbps me + STD20 (Free) + Movies Pack (UPB) + Promo Discount RM20 (24 Month),FALSE,TRUE,,208.9,24,188.9,24,300,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 500Mbps Value BB with Movies Pack (24M),unifi Home 500Mbps me + STD20 (Free) + Movies Pack (UPB)+ Promo Discount RM10 (24 Month),FALSE,TRUE,,228.9,24,218.9,24,500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 1Gbps Value BB with Movies Pack (24M)(M6),unifi Home 1Gbps me + STD20 (Free) + Movies Pack (UPB)+ FREE MESH WiFi 6 + Promo Discount RM60 (24 Month),FALSE,TRUE,,358.9,24,298.9,24,1000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 2Gbps Value BB with Movies Pack (M6),unifi Home 1Gbps me + STD20 (Free) + Movies Pack (UPB) + FREE MESH WiFi 6 + Promo Discount RM10 (24 Month),FALSE,TRUE,,388.9,24,378.9,24,2000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 100Mbps Value BB with Entertainment Pack (24M),unifi Home 100Mbps me + Family / Ultimate Pack (UPB) + Promo Discount RM10 (24 Month) (Skip Auto Add RG6),FALSE,TRUE,,159,24,149,24,100,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 300Mbps Broadband with Entertainment Pack (24M),Unifi Home 300Mbps me + STD20 (Free) + Family / Ultimate Pack (UPB) + Promo Discount RM20 (24 Month),FALSE,TRUE,,199,24,159,24,300,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 500Mbps Value BB with Entertainment Pack (24M),unifi Home 500Mbps me + STD20 (Free) + Family / Ultimate Pack (UPB) + Promo Discount RM10 (24 Month),FALSE,TRUE,,219,24,209,24,500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 1Gbps Value BB with Entertainment (24M)(M6),unifi Home 1Gbps me + STD20 (Free) + Family / Ultimate Pack (UPB) + Promo Discount RM60 (24 Month) + FREE MESH WiFi 6,FALSE,TRUE,,349,24,289,24,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
UniVERSE - Unifi Home 2Gbps Value BB with Entertainment (24M)(M6),unifi Home 2Gbps me + STD20 (Free) + Family / Ultimate Pack (UPB) + Promo Discount RM10 (24 Month) + FREE MESH WiFi 6,FALSE,TRUE,,379,24,369,24,2000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,Mesh status is inclear
Unifi Home 100Mbps staywithUnifi 4.0 (Add on Sports),Unifi Home 100Mbps staywithUnifi 4.0 (Add on Sports),FALSE,TRUE,,128.9,24,110,12,100,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 300Mbps staywithUnifi 4.0 (Add on Sports),Unifi Home 300Mbps staywithUnifi 4.0 (Add on Sports),FALSE,TRUE,,178.9,24,160,12,300,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 500Mbps staywithUnifi 4.0 (Add on Sports),Unifi Home 500Mbps staywithUnifi 4.0 (Add on Sports),FALSE,TRUE,,198.9,24,180,12,500,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 1Gbps staywithUnifi 4.0 (Add on Sports),Unifi Home 1Gbps staywithUnifi 4.0 (Add on Sports),FALSE,TRUE,,278.9,24,260,12,1000,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
