ID,PACKAGE,DESCRIPTION,HAS_MESH,HAS_UPB,UPFRONT_FEE,NONDISCOUNTED_PRICE,CONTRACT_TERM [MONTHS],DISCOUNTED_PRICE,DISCOUNT_TERM [MONTHS],BB_SPEED,HAS_FIXED,HAS_MOBILE,HAS_DEVICE,MOBILE_GROUP,IS_PROACTIVE_RECONTRACTING,IS_MONETIZATION,TERMINATION_DATE,REMARKS
, UniVERSE - Unifi Home 100Mbps Home Broadband with Mobile (24M) and UNI5G 69,unifi Home 100Mbps me + Promo Discount RM10 (24 Month) + Unifi Mobile (Skip Auto Add RG6) and UNI5G 69,FALSE,FALSE,,158,24,148,24,100,TRUE,TRUE,FALSE,2,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 300Mbps Home Broadband with Mobile (24M) and UNI5G 69,unifi Home 300Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 69,FALSE,FALSE,,188,24,178,24,300,TRUE,TRUE,FALSE,2,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 500Mbps Home Broadband with Mobile (24M) and UNI5G 69,unifi Home 500Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 69,FALSE,FALSE,,208,24,198,24,500,TRUE,TRUE,FALSE,2,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 1Gbps Value Home Broadband with Mobile and UNI5G 69,unifi Home 1Gbps me + STD20 (Free) + Promo Discount RM60 (24 Month) + unifi Mobile and UNI5G 69,FALSE,FALSE,,338,24,278,24,1000,TRUE,TRUE,FALSE,2,TRUE,TRUE,,Mesh is unclear
,UniVERSE - Unifi Home 2Gbps Value Home Broadband with Mobile (24M) and UNI5G 69,"unifi Home 2Gbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi and UNI5G 69
Mobile",FALSE,FALSE,,368,24,358,24,2000,TRUE,TRUE,FALSE,2,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 100Mbps Home Broadband with Mobile (24M) and UNI5G 99,unifi Home 100Mbps me + Promo Discount RM10 (24 Month) + Unifi Mobile (Skip Auto Add RG6) and UNI5G 99,FALSE,FALSE,,188,24,178,24,100,TRUE,TRUE,FALSE,3,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 300Mbps Home Broadband with Mobile (24M) and UNI5G 99,unifi Home 300Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 99,FALSE,FALSE,,218,24,208,24,300,TRUE,TRUE,FALSE,3,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 500Mbps Home Broadband with Mobile (24M) and UNI5G 99,unifi Home 500Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 99,FALSE,FALSE,,238,24,228,24,500,TRUE,TRUE,FALSE,3,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 1Gbps Value Home Broadband with Mobile and UNI5G 99,unifi Home 1Gbps me + STD20 (Free) + Promo Discount RM60 (24 Month) + unifi Mobile and UNI5G 99,FALSE,FALSE,,368,24,308,24,1000,TRUE,TRUE,FALSE,3,TRUE,TRUE,,Mesh is unclear
,UniVERSE - Unifi Home 2Gbps Value Home Broadband with Mobile (24M) and UNI5G 99,"unifi Home 2Gbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi and UNI5G 99
Mobile",FALSE,FALSE,,398,24,388,24,2000,TRUE,TRUE,FALSE,3,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 100Mbps Home Broadband with Mobile (24M) and UNI5G 129,unifi Home 100Mbps me + Promo Discount RM10 (24 Month) + Unifi Mobile (Skip Auto Add RG6) and UNI5G 129,FALSE,FALSE,,218,24,208,24,100,TRUE,TRUE,FALSE,4,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 300Mbps Home Broadband with Mobile (24M) and UNI5G 129,unifi Home 300Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 129,FALSE,FALSE,,248,24,238,24,300,TRUE,TRUE,FALSE,4,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 500Mbps Home Broadband with Mobile (24M) and UNI5G 129,unifi Home 500Mbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi Mobile and UNI5G 129,FALSE,FALSE,,268,24,258,24,500,TRUE,TRUE,FALSE,4,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 1Gbps Value Home Broadband with Mobile and UNI5G 129,unifi Home 1Gbps me + STD20 (Free) + Promo Discount RM60 (24 Month) + unifi Mobile and UNI5G 129,FALSE,FALSE,,398,24,338,24,1000,TRUE,TRUE,FALSE,4,TRUE,TRUE,,Mesh is unclear
,UniVERSE - Unifi Home 2Gbps Value Home Broadband with Mobile (24M) and UNI5G 129,"unifi Home 2Gbps me + STD20 (Free) + Promo Discount RM10 (24 Month) + Unifi and UNI5G 129
Mobile",FALSE,FALSE,,428,24,418,24,2000,TRUE,TRUE,FALSE,4,TRUE,TRUE,,Mesh is unclear
, UniVERSE - Unifi Home 100Mbps Home Broadband with Mobile (24M) and UNI5G 159,unifi Home 100Mbps me + Promo Discount RM10 (24 Month) + Unifi Mobile (Skip Auto Add RG6) and UNI5G 159,FALSE,FALSE,,248,24,238,24,100,TRUE,TRUE,FALSE,5,TRUE,TRUE,,Mesh is unclear
