ID,PACKAGE,DESCRIPTION,UPFRONT_FEE,NONDISCOUNTED_PRICE,CONTRACT_TERM [MONTHS],DISCOUNTED_PRICE,DISCOUNT_TERM [MONTHS],HAS_TV_PACK_VAR,HAS_TV_PACK_MOVIES,HAS_TV_PACK_SPORTS,HAS_TV_PACK_KIDS,HAS_TV_PACK_FAMILY/ ULTIMATE,HAS_CONTENT,IS_PROACTIVE_RECONTRACTING,IS_MONETIZATION,TERMINATION_DATE,CAN_BE_ADDED_TO_BUNDLES,CAN_BE_ADDED_TO_UNIFI,CAN_BE_STACKED_WITH_OTHER_STANDALONES,STATUS,REMARKS
,Aneka Plus Pack,,,30,24,30,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,"Switched off by Matteo since VAR standalone is sold to customers without UPB box, unlike other content, and unlike VAR sold as bundle"
,New Ultimate Pack,,,60,24,60,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,"Check if we need new columns for Ultimate legacy, Plus and Max"
,Ruby Plus Pack (Promo),,,30,24,30,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,"Switched off by Matteo since VAR standalone is sold to customers without UPB box, unlike other content, and unlike VAR sold as bundle"
,Varnam Plus Pack,,,30,24,30,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,"Switched off by Matteo since VAR standalone is sold to customers without UPB box, unlike other content, and unlike VAR sold as bundle"
,Family Pack,,,60,24,60,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
,Sports Pack,,,39.9,24,39.9,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
,Ultimate Max Pack,,,134.9,24,134.9,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
,Ultimate Plus Pack,,,99.9,24,99.9,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
,Movies Pack,,,69.9,24,69.9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
,Kids Pack,,,46.9,24,46.9,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,
