customer_id,month_year,avg_3mth_lag_fxd_brdbnd_total_download_gb,avg_3mth_fxd_brdbnd_total_sessions,min_months_until_contract_end,payment_mode_cash_cnt,max_months_until_contract_end,lag2_sum_net_revenue_amt,payment_mode_credit_card_cnt,lag2_sum_price,lag2_sum_unifi_stmx_rev_amt,lag2_sum_monthly_charges,lag2_sum_inv_tax_amt,payment_cent_type_bank_or_card_cnt,any_6mth_price_hike_10pct,account_cnt,lag2_fxd_voice_tot_usage_discnt_chrgs,lag2_sum_hypptv_revenue_amt,sum_hypptv_revenue_amt,revenue_score,fxd_voice_tot_usage_discnt_chrgs,avg_6m_cnt_prod_w,fxd_voice_wkend_tot_usage_discnt_chrgs,lag2_fxd_voice_wkday_tot_usage_discnt_chrgs,payment_cent_type_sbbs_or_mppj_cnt,spdtst_test_cnt,spdtst_avg_jitter,lag1_spdtst_avg_upload_kbps,lag1_spdtst_max_upload_kbps,payment_cent_type_post_office_cnt,tot_srvc_cnt,lag1_sum_hypptv_revenue_amt,avg_3m_tot_srvc_cnt,fxd_voice_wkday_tot_usage_discnt_chrgs,fxd_voice_wkday_postcode,fxd_voice_postcode,ct_unifi_super_value_pckg,fxd_voice_wkend_postcode,hypptv_rev_postcode,fxd_brdbnd_postcode,voice_rev_postcode,usage_charge_postcode,ct_promo_pckg,marital_status,ct_pckg_less_50_myr,monthly_charge_postcode,unifi_stmx_rev_postcode,net_revenue_postcode,is_out_of_contract,ct_unifi_pckg_less_150_myr,ct_pckg_over_100_myr,revenue_band,cnt_of_contracts,speed_upsell,y_pred,decile,percentile,y_pred_calibrated
1-1013HKU,202308,185.83467,267,,0,,99,0,85,99,89,5.94,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,597,595,0,595,567,570,566,566,0,3,0,565,565,568,1,1,0,2,0,0,0.002215578,1,14,0.009819645
1-10KIP0I,202308,48.255,21.333332,,1,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,153,154,0,153,145,147,145,145,0,3,0,145,145,146,0,1,0,2,0,0,0.00159905,6,67,0.00965621
1-10P1BKE,202308,151.146,7.333333,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1060,1065,0,1064,980,994,981,980,1,3,0,978,979,989,1,1,0,2,0,0,0.001784982,5,50,0.009705213
1-10P5QU0,202308,60.41567,0.666667,11.612904,1,11.612904,89,0,89,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1245,1260,0,1258,1124,1142,1126,1125,0,3,0,1123,1124,1140,0,1,0,2,1,0,0.001299372,9,90,0.009577745
1-11D-20556,202308,33.531,0.333333,,,,89,,139,89,89,5.34,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,709,708,0,709,674,679,674,674,0,3,0,671,672,676,0,1,1,2,0,0,0.001798219,4,48,0.009708711
1-11D-28100,202308,521.833,8.666667,,,,99,,89,99,89,5.94,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,936,937,0,936,866,877,866,866,0,3,0,863,864,873,1,1,0,2,0,0,0.002349566,1,12,0.009855524
1-11ENCDS,202308,0,0,,0,,89,1,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,145,146,0,145,137,139,137,137,0,3,0,137,137,138,0,1,0,2,0,0,0.001731845,5,56,0.009691184
1-11I-20278,202308,313.37268,3.666667,,1,,177.22,0,179,149,179,10.63,1,0,1,,30,30,4,,0.33333334,,,0,0,,,,0,1,30,1.6666666,,695,694,0,695,660,665,660,660,0,3,0,657,658,662,1,0,1,2,0,1,0.004814278,0,1,0.010539161
1-11I-25369,202308,74.13,4.666667,,,,-5.74,,85,-5.74,-5.74,-0.3444,,0,,,0,0,4,,0,,,,0,,,,,1,0,1,,781,780,0,781,731,740,731,731,0,3,0,728,729,735,1,1,0,2,0,0,0.002193242,1,14,0.009813676
1-11I-26604,202308,147.07133,1.666667,,1,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,602,599,0,600,571,575,570,570,0,3,0,569,569,573,0,1,0,2,0,0,0.001863648,3,39,0.00972602
